ts,container,mem_mb,mem_pct,cpu_pct
1776549665,mft-api-gateway,14.8,0.06,1.96
1776549665,mft-edi-converter,211.4,23.59,0.14
1776549665,mft-ui-service,9.2,0.04,2.59
1776549665,mft-dmz-proxy-internal,247.9,1.03,0.20
1776549665,mft-ftp-web-ui,9.9,0.04,0.26
1776549665,mft-partner-portal,9.3,0.04,2.17
1776549665,mft-spire-agent,34.2,0.14,0.40
1776549665,mft-notification-service,619.0,69.08,6.56
1776549665,mft-platform-sentinel,673.7,75.19,1.32
1776549665,mft-ai-engine,637.0,71.09,1.14
1776549665,mft-sftp-service,686.3,76.60,43.82
1776549665,mft-license-service,617.3,68.89,0.33
1776549665,mft-ftp-service,655.6,73.17,1.54
1776549665,mft-screening-service,676.9,75.55,0.99
1776549665,mft-forwarder-service,655.9,73.20,0.99
1776549665,mft-as2-service,640.6,2.67,0.59
1776549665,mft-onboarding-api,667.4,74.49,12.79
1776549665,mft-storage-manager,544.9,60.81,28.10
1776549665,mft-keystore-manager,700.0,78.13,0.60
1776549665,mft-ftp-web-service,637.5,71.15,22.74
1776549665,mft-analytics-service,689.8,76.99,0.36
1776549665,mft-config-service,637.8,71.19,1.27
1776549665,mft-gateway-service,611.9,68.29,1.61
1776549665,mft-grafana,59.8,0.25,0.12
1776549665,mft-encryption-service,660.1,73.67,0.79
1776549665,mft-promtail,56.7,0.24,3.39
1776549665,mft-postgres,203.8,0.85,15.37
1776549665,mft-rabbitmq,160.6,0.67,2.46
1776549665,mft-redis,10.7,0.04,0.60
1776549665,mft-prometheus,73.9,0.31,0.41
1776549665,mft-spire-server,33.0,0.14,0.83
1776549665,mft-loki,157.1,0.65,3.20
1776549665,mft-alertmanager,20.7,0.09,0.05
1776549665,mft-vault,123.8,0.52,0.80
1776549665,mft-redpanda,182.5,0.76,35.02
1776549728,mft-api-gateway,14.7,0.06,1.46
1776549728,mft-edi-converter,211.4,23.60,0.11
1776549728,mft-ui-service,9.2,0.04,0.09
1776549728,mft-dmz-proxy-internal,248.1,1.03,0.20
1776549728,mft-ftp-web-ui,8.4,0.04,0.00
1776549728,mft-partner-portal,9.0,0.04,0.00
1776549728,mft-spire-agent,34.2,0.14,0.07
1776549728,mft-notification-service,482.9,53.89,8.26
1776549728,mft-platform-sentinel,673.8,75.20,0.42
1776549728,mft-ai-engine,637.1,71.10,0.30
1776549728,mft-sftp-service,689.7,76.97,28.79
1776549728,mft-license-service,617.5,68.92,0.41
1776549728,mft-ftp-service,656.3,73.25,0.68
1776549728,mft-screening-service,676.9,75.55,0.49
1776549728,mft-forwarder-service,657.0,73.32,1.27
1776549728,mft-as2-service,641.1,2.67,0.94
1776549728,mft-onboarding-api,667.8,74.53,9.80
1776549728,mft-storage-manager,546.5,60.99,17.51
1776549728,mft-keystore-manager,700.2,78.15,0.76
1776549728,mft-ftp-web-service,637.9,71.19,7.48
1776549728,mft-analytics-service,689.8,76.99,0.63
1776549728,mft-config-service,637.7,71.18,4.78
1776549728,mft-gateway-service,611.9,68.30,8.31
1776549728,mft-grafana,59.8,0.25,0.42
1776549728,mft-encryption-service,660.2,73.69,0.60
1776549728,mft-promtail,56.8,0.24,1.68
1776549728,mft-postgres,220.0,0.92,9.25
1776549728,mft-rabbitmq,160.6,0.67,1.20
1776549728,mft-redis,10.7,0.04,1.75
1776549728,mft-prometheus,74.2,0.31,0.54
1776549728,mft-spire-server,33.2,0.14,1.66
1776549728,mft-loki,161.3,0.67,4.61
1776549728,mft-alertmanager,20.7,0.09,0.12
1776549728,mft-vault,123.8,0.52,2.72
1776549728,mft-redpanda,182.5,0.76,0.30
1776549790,mft-api-gateway,15.0,0.06,4.51
1776549790,mft-edi-converter,211.5,23.60,0.42
1776549790,mft-ui-service,9.2,0.04,0.01
1776549790,mft-dmz-proxy-internal,248.4,1.04,0.32
1776549790,mft-ftp-web-ui,8.4,0.04,0.00
1776549790,mft-partner-portal,9.0,0.04,0.00
1776549790,mft-spire-agent,34.3,0.14,1.27
1776549790,mft-notification-service,489.6,54.64,0.74
1776549790,mft-platform-sentinel,674.2,75.25,36.05
1776549790,mft-ai-engine,637.3,71.12,7.15
1776549790,mft-sftp-service,693.6,77.42,7.56
1776549790,mft-license-service,617.8,68.95,0.43
1776549790,mft-ftp-service,657.1,73.34,5.45
1776549790,mft-screening-service,676.9,75.55,19.18
1776549790,mft-forwarder-service,657.1,73.34,0.65
1776549790,mft-as2-service,641.5,2.67,1.52
1776549790,mft-onboarding-api,668.0,74.55,26.01
1776549790,mft-storage-manager,547.5,61.11,0.47
1776549790,mft-keystore-manager,700.4,78.17,0.38
1776549790,mft-ftp-web-service,638.4,71.25,0.95
1776549790,mft-analytics-service,689.9,77.00,25.71
1776549790,mft-config-service,639.5,71.37,6.71
1776549790,mft-gateway-service,617.1,68.87,6.01
1776549790,mft-grafana,59.8,0.25,0.21
1776549790,mft-encryption-service,660.4,73.71,0.31
1776549790,mft-promtail,56.8,0.24,1.02
1776549790,mft-postgres,226.9,0.95,25.67
1776549790,mft-rabbitmq,161.6,0.67,1.24
1776549790,mft-redis,10.7,0.04,0.87
1776549790,mft-prometheus,75.5,0.31,0.45
1776549790,mft-spire-server,33.2,0.14,1.22
1776549790,mft-loki,163.7,0.68,1.64
1776549790,mft-alertmanager,20.7,0.09,0.16
1776549790,mft-vault,123.8,0.52,0.51
1776549790,mft-redpanda,182.5,0.76,0.24
1776549852,mft-api-gateway,15.0,0.06,0.92
1776549852,mft-edi-converter,211.5,23.61,0.11
1776549852,mft-ui-service,9.2,0.04,0.05
1776549852,mft-dmz-proxy-internal,248.6,1.04,0.14
1776549852,mft-ftp-web-ui,8.4,0.04,0.00
1776549852,mft-partner-portal,9.0,0.04,0.00
1776549852,mft-spire-agent,34.7,0.14,0.07
1776549852,mft-notification-service,491.4,54.85,0.45
1776549852,mft-platform-sentinel,674.2,75.25,0.31
1776549852,mft-ai-engine,637.5,71.15,3.54
1776549852,mft-sftp-service,696.0,77.67,0.35
1776549852,mft-license-service,619.1,69.09,0.52
1776549852,mft-ftp-service,657.6,73.39,0.42
1776549852,mft-screening-service,677.0,75.55,0.45
1776549852,mft-forwarder-service,660.7,73.74,0.21
1776549852,mft-as2-service,641.5,2.67,5.09
